Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Sat Apr 22 2023 20:49:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Sat Apr 22 2023 20:49:27 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 20:53:00 GMT-0300 (Horário Padrão de Brasília), POST, /api/recarga/, undefined 
Sat Apr 22 2023 21:09:05 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 21:09:05 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 21:09:05 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Sat Apr 22 2023 21:09:05 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Sat Apr 22 2023 21:09:05 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Sat Apr 22 2023 21:09:05 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 21:11:26 GMT-0300 (Horário Padrão de Brasília), POST, /api/users/, undefined 
Sat Apr 22 2023 21:13:23 GMT-0300 (Horário Padrão de Brasília), POST, /api/users/, undefined 
Sat Apr 22 2023 21:36:06 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 21:36:06 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 21:36:06 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Sat Apr 22 2023 21:36:06 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Sat Apr 22 2023 21:36:06 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
